HP_0000001	false
HP_0001620	HP_0001608
HP_0010588	HP_0005930
HP_0011571	HP_0001718
HP_0004852	HP_0003282
HP_0005384	HP_0005372
HP_0010828	HP_0003739
HP_0011152	HP_0011147
HP_0007385	HP_0001057
HP_0001818	HP_0100803
HP_0001419	HP_0001417
HP_0000396	HP_0008544
HP_0005868	HP_0000944
HP_0000497	HP_0011347
HP_0010582	HP_0005930
HP_0012137	HP_0012135
HP_0100592	HP_0002585
HP_0002558	HP_0004404
HP_0006379	HP_0005736
HP_0100654	HP_0100653
HP_0008226	HP_0008373
HP_0010029	HP_0009653
HP_0010029	HP_0010009
HP_0008740	HP_0001153
HP_0010076	HP_0010053
HP_0010076	HP_0010058
HP_0010076	HP_0010185
HP_0009283	HP_0009172
HP_0010750	HP_0000492
HP_0100413	HP_0100404
HP_0004894	HP_0001602
HP_0004894	HP_0002777
HP_0100117	HP_0100050
HP_0100117	HP_0100089
HP_0006092	HP_0001191
HP_0010118	HP_0010056
HP_0010118	HP_0010167
HP_0002851	HP_0100828
HP_0009590	HP_0009588
HP_0008089	HP_0001832
HP_0001790	HP_0001789
HP_0004049	HP_0003019
HP_0002057	HP_0002056
HP_0011256	HP_0009895
HP_0003756	HP_0003198
HP_0010522	HP_0001328
HP_0005991	HP_0005986
HP_0006689	HP_0100584
HP_0003872	HP_0002762
HP_0003872	HP_0003063
HP_0004412	HP_0000429
HP_0002948	HP_0003468
HP_0002948	HP_0100240
HP_0000613	HP_0000504
HP_0000613	HP_0000708
HP_0004289	HP_0004281
HP_0001241	HP_0004259
HP_0001241	HP_0004262
HP_0001241	HP_0009702
HP_0006882	HP_0000238
HP_0001949	HP_0001948
HP_0010890	HP_0002992
